
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2026-07-22 12:01:37 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:37 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 .................................... ~ 505.29ms
  2026-07-22 12:01:38 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 .................................... ~ 505.30ms
  2026-07-22 12:01:38 /bench1 .................................... ~ 505.34ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:38 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:39 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:39 /bench1 .................................... ~ 505.37ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:39 /bench1 .................................... ~ 504.71ms
  2026-07-22 12:01:39 /bench1 .................................... ~ 504.73ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:39 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.32ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.44ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:40 /bench1 .................................... ~ 505.30ms
  2026-07-22 12:01:40 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:40 /bench1 .................................... ~ 505.35ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:40 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:41 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:41 /bench1 .................................... ~ 505.35ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 .................................... ~ 505.30ms
  2026-07-22 12:01:41 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:41 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 .................................... ~ 505.31ms
  2026-07-22 12:01:42 /bench1 .................................... ~ 505.34ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:42 /bench1 .................................... ~ 505.30ms
  2026-07-22 12:01:42 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.66ms
  2026-07-22 12:01:42 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:43 /bench1 .................................... ~ 505.30ms
  2026-07-22 12:01:43 /bench1 .................................... ~ 505.34ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.23ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.23ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:43 /bench1 .................................... ~ 505.30ms
  2026-07-22 12:01:43 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:43 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:44 /bench1 .................................... ~ 505.36ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
